specimen_id,printer,print_purpose,direction,input_angle_deg,force_N,pull_angle_from_lever_deg,lever_radius_mm,repeat,notes
,kobra2_neo,data,loading,80.75,,90,36.00,1,
,kobra2_neo,data,loading,82.85,,90,36.00,1,
,kobra2_neo,data,loading,84.95,,90,36.00,1,
,kobra2_neo,data,loading,87.05,,90,36.00,1,
,kobra2_neo,data,loading,89.15,,90,36.00,1,
,kobra2_neo,data,loading,91.25,,90,36.00,1,
,kobra2_neo,data,loading,93.35,,90,36.00,1,
,kobra2_neo,data,loading,95.45,,90,36.00,1,
,kobra2_neo,data,loading,97.56,,90,36.00,1,
,kobra2_neo,data,unloading,97.56,,90,36.00,1,
,kobra2_neo,data,unloading,95.45,,90,36.00,1,
,kobra2_neo,data,unloading,93.35,,90,36.00,1,
,kobra2_neo,data,unloading,91.25,,90,36.00,1,
,kobra2_neo,data,unloading,89.15,,90,36.00,1,
,kobra2_neo,data,unloading,87.05,,90,36.00,1,
,kobra2_neo,data,unloading,84.95,,90,36.00,1,
,kobra2_neo,data,unloading,82.85,,90,36.00,1,
,kobra2_neo,data,unloading,80.75,,90,36.00,1,
,kobra2_neo,data,loading,80.75,,90,36.00,2,
,kobra2_neo,data,loading,82.85,,90,36.00,2,
,kobra2_neo,data,loading,84.95,,90,36.00,2,
,kobra2_neo,data,loading,87.05,,90,36.00,2,
,kobra2_neo,data,loading,89.15,,90,36.00,2,
,kobra2_neo,data,loading,91.25,,90,36.00,2,
,kobra2_neo,data,loading,93.35,,90,36.00,2,
,kobra2_neo,data,loading,95.45,,90,36.00,2,
,kobra2_neo,data,loading,97.56,,90,36.00,2,
,kobra2_neo,data,unloading,97.56,,90,36.00,2,
,kobra2_neo,data,unloading,95.45,,90,36.00,2,
,kobra2_neo,data,unloading,93.35,,90,36.00,2,
,kobra2_neo,data,unloading,91.25,,90,36.00,2,
,kobra2_neo,data,unloading,89.15,,90,36.00,2,
,kobra2_neo,data,unloading,87.05,,90,36.00,2,
,kobra2_neo,data,unloading,84.95,,90,36.00,2,
,kobra2_neo,data,unloading,82.85,,90,36.00,2,
,kobra2_neo,data,unloading,80.75,,90,36.00,2,
,kobra2_neo,data,loading,80.75,,90,36.00,3,
,kobra2_neo,data,loading,82.85,,90,36.00,3,
,kobra2_neo,data,loading,84.95,,90,36.00,3,
,kobra2_neo,data,loading,87.05,,90,36.00,3,
,kobra2_neo,data,loading,89.15,,90,36.00,3,
,kobra2_neo,data,loading,91.25,,90,36.00,3,
,kobra2_neo,data,loading,93.35,,90,36.00,3,
,kobra2_neo,data,loading,95.45,,90,36.00,3,
,kobra2_neo,data,loading,97.56,,90,36.00,3,
,kobra2_neo,data,unloading,97.56,,90,36.00,3,
,kobra2_neo,data,unloading,95.45,,90,36.00,3,
,kobra2_neo,data,unloading,93.35,,90,36.00,3,
,kobra2_neo,data,unloading,91.25,,90,36.00,3,
,kobra2_neo,data,unloading,89.15,,90,36.00,3,
,kobra2_neo,data,unloading,87.05,,90,36.00,3,
,kobra2_neo,data,unloading,84.95,,90,36.00,3,
,kobra2_neo,data,unloading,82.85,,90,36.00,3,
,kobra2_neo,data,unloading,80.75,,90,36.00,3,

# MODE B, spring scale. Backup rig: no pulley needed, but the pull is
# horizontal while the scale weighs vertically, so it is awkward in-plane
# and less repeatable than the dead-weight rig. Prefer mode A.
# T = F * r * sin(pull_angle_from_lever_deg); pull perpendicular if you can.
# The loading/unloading gap is hysteresis plus any rig friction.
